texto_original;texto_limpio
¿Has volado en avioneta?;has volado en avioneta
La vigencia de tu tarjeta es de ocho meses.;la vigencia de tu tarjeta es de ocho meses
Queremos saber cómo va el ballet acuático en las olimpíadas.;queremos saber cómo va el ballet acuático en las olimpíadas
Es muy fácil resguardar su hogar de los huracanes.;es muy fácil resguardar su hogar de los huracanes
No te entendí nada.;no te entendí nada
¿Y tenés algo en mente en cuestión de precios?;y tenés algo en mente en cuestión de precios
Me parece muy mal.;me parece muy mal
¿Podrías reservarme dos noches en el hotel por favor?;podrías reservarme dos noches en el hotel por favor
Las mesas de caoba negro son un lujo.;las mesas de caoba negro son un lujo
¿Qué tal Alex, cómo están los chicos?;qué tal alex cómo están los chicos
Mañana va a haber mucho viento y habrá tormentas.;mañana va a haber mucho viento y habrá tormentas
¿Me puedes recomendar una compañía de teléfono que funcione bien en todo el país?;me puedes recomendar una compañía de teléfono que funcione bien en todo el país
¿Puedo añadir nueces a esa dieta?;puedo añadir nueces a esa dieta
¿Qué tan destruida quedó La Florida después del huracán Irma?;qué tan destruida quedó la florida después del huracán irma
Lo podés pagar con la tarjeta verde de Visa.;lo podés pagar con la tarjeta verde de visa
Quiero escuchar la mejor música pop de los años ochenta.;quiero escuchar la mejor música pop de los años ochenta
En salto de longitud no tenemos participantes.;en salto de longitud no tenemos participantes
Compra alimentos no perecederos.;compra alimentos no perecederos
No me gustan los bares donde hay poca gente.;no me gustan los bares donde hay poca gente
Lo podés pagar con la tarjeta verde de Visa.;lo podés pagar con la tarjeta verde de visa
¿Tenés todos los ingredientes?;tenés todos los ingredientes
Tradicionalmente la comida japonesa se acompaña con cerveza.;tradicionalmente la comida japonesa se acompaña con cerveza
No me gusta que el departamento este en planta baja porque no le da el sol.;no me gusta que el departamento este en planta baja porque no le da el sol
¿En qué piso está el departamento?;en qué piso está el departamento
Quiero comprar un vestido de casamiento.;quiero comprar un vestido de casamiento
¿Me podrías recomendar algún bar en una zona que sea tranquila?;me podrías recomendar algún bar en una zona que sea tranquila
¿Podés verificar si hay algún cafetería cerca?;podés verificar si hay algún cafetería cerca
En levantamiento de pesas tenemos a una campeona.;en levantamiento de pesas tenemos a una campeona
¿Cuándo sucedió la Guerra Civil de España?;cuándo sucedió la guerra civil de españa
La pronunciación del francés es difícil.;la pronunciación del francés es difícil
Reservame seis boletos por favor para la función de las doce y diez.;reservame seis boletos por favor para la función de las doce y diez
¿Cuáles son las principales diferencias?;cuáles son las principales diferencias
Quisiera reservar dos pasajes por favor pero en primera clase.;quisiera reservar dos pasajes por favor pero en primera clase
Estoy muy estresado necesito vacaciones.;estoy muy estresado necesito vacaciones
¿Le cayó alguna sustancia irritante?;le cayó alguna sustancia irritante
¿Sabés si hizo este tipo de obras artísticas en otros países?;sabés si hizo este tipo de obras artísticas en otros países
El segundo paso para eliminar el calor es bañarte con agua fría.;el segundo paso para eliminar el calor es bañarte con agua fría
Tiene el tiempo contado.;tiene el tiempo contado
No sé hablar inglés.;no sé hablar inglés
La televisión y la radio se tienen que adaptar a la revolución digital.;la televisión y la radio se tienen que adaptar a la revolución digital
El pijama de rayas es azul.;el pijama de rayas es azul
Me quitaste un peso de encima, muchas gracias.;me quitaste un peso de encima muchas gracias
¿Qué café es el que más me recomendás?;qué café es el que más me recomendás
Como vos bien decís son justamente treinta personas.;como vos bien decís son justamente treinta personas
El pijama de rayas es azul.;el pijama de rayas es azul
La película me llegó al corazón.;la película me llegó al corazón
Las entradas cuestan alrededor de veinte euros.;las entradas cuestan alrededor de veinte euros
Los cabecillas de la banda huyeron a caballo.;los cabecillas de la banda huyeron a caballo
¿Qué color de casa es el más popular?;qué color de casa es el más popular
¿Hay algún vuelo más barato que pase por Cancún?;hay algún vuelo más barato que pase por cancún
Estoy acá con una amiga cocinando pescado.;estoy acá con una amiga cocinando pescado
Ahora chequeo la información que me mandaste y lo resuelvo.;ahora chequeo la información que me mandaste y lo resuelvo
¿Podrías preguntar todos los requerimientos que se necesitan para poder solicitar el examen?;podrías preguntar todos los requerimientos que se necesitan para poder solicitar el examen
No sé que hacer con mi hijo y su mala conducta.;no sé que hacer con mi hijo y su mala conducta
No me duele la espalda si me despierto temprano.;no me duele la espalda si me despierto temprano
Buscá dónde puedo comprar vino espumante italiano a buen precio.;buscá dónde puedo comprar vino espumante italiano a buen precio
Quiero ver una película de acción.;quiero ver una película de acción
La granizada destruyó toda la plantación de lechuga.;la granizada destruyó toda la plantación de lechuga
Quiero que la cartera sea un regalo de cumpleaños.;quiero que la cartera sea un regalo de cumpleaños
¿Cuándo sucedió la Revolución Cubana?;cuándo sucedió la revolución cubana
Tiene el tiempo contado.;tiene el tiempo contado
Me reencontré con un amigo que no veía desde hace años gracias a Facebook.;me reencontré con un amigo que no veía desde hace años gracias a facebook
¿Cuáles son las principales diferencias?;cuáles son las principales diferencias
¿Cuántos días quieres estar afuera?;cuántos días quieres estar afuera
Tengo una reunión con mis amigos y queremos ir a un café.;tengo una reunión con mis amigos y queremos ir a un café
Si querés la compro y te la mando, te llega pasado mañana.;si querés la compro y te la mando te llega pasado mañana
Yo lo que podría hacer si a vos te parece, es contratarte un avión privado para que transportes a tu público.;yo lo que podría hacer si a vos te parece es contratarte un avión privado para que transportes a tu público
No sé a donde salir con mi esposo para nuestro aniversario.;no sé a donde salir con mi esposo para nuestro aniversario
¿Quiero saber el origen de la palabra ladrón?;quiero saber el origen de la palabra ladrón
No me acuerdo como se llama la película que vi en el cine.;no me acuerdo como se llama la película que vi en el cine
Buscame a un quiropráctico cerca de mi casa.;buscame a un quiropráctico cerca de mi casa
La reposteria es un arte.;la reposteria es un arte
Estoy teniendo problemas con el auto y un amigo me recomendó una Ferrari.;estoy teniendo problemas con el auto y un amigo me recomendó una ferrari
Salió al mercado un modelo nuevo con distintos colores.;salió al mercado un modelo nuevo con distintos colores
Creo que necesitás hidratarte mejor.;creo que necesitás hidratarte mejor
Buscame a un terapeuta de masaje suizo.;buscame a un terapeuta de masaje suizo
¿Podés ayudarme a meditar?;podés ayudarme a meditar
Por las tardes se escucha música en la Plaza.;por las tardes se escucha música en la plaza
¿Buscas un café con algo en especifico?;buscas un café con algo en especifico
¿Cuáles fueron las consecuencias de este movimiento?;cuáles fueron las consecuencias de este movimiento
¿Qué noticias importantes hay esta mañana?;qué noticias importantes hay esta mañana
Tenés que denunciar inmediatamente el accidente para que lo cubra el seguro.;tenés que denunciar inmediatamente el accidente para que lo cubra el seguro
¿Sabes donde puedo encontrar una camisa de rayas?;sabes donde puedo encontrar una camisa de rayas
Vamos a mantenernos tranquilos y relajados.;vamos a mantenernos tranquilos y relajados
¿Cuándo sucedió la Primera Guerra Mundial?;cuándo sucedió la primera guerra mundial
Quiero saber que tipo pizza es la más saludable.;quiero saber que tipo pizza es la más saludable
Me podés mandar más información sobre los hechos.;me podés mandar más información sobre los hechos
¿Sabes en donde van a ser los próximos mundiales de ping pong?;sabes en donde van a ser los próximos mundiales de ping pong
¿Sabés escanear libros?;sabés escanear libros
La bolsa ha aumentado en un diecisiete por ciento, es un buen momento para hacer inversiones.;la bolsa ha aumentado en un diecisiete por ciento es un buen momento para hacer inversiones
¿Podés buscar un buen tratamiento para estos casos?;podés buscar un buen tratamiento para estos casos
El viaje en tren puede ser muy romántico e interesante.;el viaje en tren puede ser muy romántico e interesante
Las tejas rojas del tejado no son de México, son de Texas.;las tejas rojas del tejado no son de méxico son de texas
A veces la edad de piedra sigue con nosotros en el siglo veintiuno.;a veces la edad de piedra sigue con nosotros en el siglo veintiuno
Según el periódico Universal, las bicicletas causan tres accidentes al día.;según el periódico universal las bicicletas causan tres accidentes al día
Los sandwiches están fríos.;los sandwiches están fríos
¿Sabes de electricidad?, necesito cambiar un enchufe y no sé como.;sabes de electricidad necesito cambiar un enchufe y no sé como
En salto de altura no tenemos participantes.;en salto de altura no tenemos participantes
Los franceses tienen la mayor variedad de quesos del planeta.;los franceses tienen la mayor variedad de quesos del planeta
¿Es un vuelo directo o hace escalas?;es un vuelo directo o hace escalas
Comer sopa de tortuga está prohibido, porque está en peligro de extinción.;comer sopa de tortuga está prohibido porque está en peligro de extinción
¿Sabés quién fue Frida Kahlo?;sabés quién fue frida kahlo
Me gustan los acentos.;me gustan los acentos
Hay varios cines cerca de tu hotel. ¿Estas buscando algo en especial?;hay varios cines cerca de tu hotel estas buscando algo en especial
¿Cuánto tiempo tardo de acá a Río de Janeiro en auto?;cuánto tiempo tardo de acá a río de janeiro en auto
¿En qué calle está la casa?;en qué calle está la casa
Si contás hasta diez durante una discusión es más probable que no digas algo de lo que te vas a arrepentir.;si contás hasta diez durante una discusión es más probable que no digas algo de lo que te vas a arrepentir
